Email,First usage,Last usage,Account id,Account name
21347221,2013-08-12,2013-08-12,4324,4324
21347444,2013-08-13,2013-09-22,4324,4324
21362698,2013-09-07,2013-09-25,4324,4324
21362701,2013-08-21,2013-09-13,4324,4324
21362702,2013-08-23,2013-09-19,4324,4324
21368047,2013-08-29,2013-09-25,4324,4324
2857749,2012-09-11,2013-09-25,4324,4324
bgl,2013-06-07,2013-09-25,4324,4324
21428417,2013-09-18,2013-09-25,162872,162872
21428431,2013-09-18,2013-09-25,162872,162872
21428432,2013-09-18,2013-09-25,162872,162872
21431315,2013-09-19,2013-09-25,162872,162872
21431335,2013-09-22,2013-09-23,162872,162872
twenty2,2013-09-19,2013-09-25,162872,162872
21333519,2013-08-08,2013-08-28,158268,158268
21333522,2013-08-07,2013-08-08,158268,158268
21336271,2013-08-08,2013-09-25,158268,158268
21336274,2013-08-10,2013-09-15,158268,158268
21336275,2013-08-10,2013-09-24,158268,158268
21336276,2013-08-09,2013-09-25,158268,158268
21336277,2013-08-30,2013-09-25,158268,158268
21336278,2013-08-08,2013-08-25,158268,158268
21336279,2013-08-09,2013-09-24,158268,158268
21336281,2013-08-09,2013-09-01,158268,158268
21336282,2013-08-09,2013-09-25,158268,158268
21336283,2013-08-17,2013-08-26,158268,158268
21336289,2013-08-08,2013-09-25,158268,158268
cas777,2013-08-26,2013-09-25,158268,158268
21393135,2013-09-04,2013-09-25,161249,161249
21393199,2013-09-05,2013-09-25,161249,161249
21393201,2013-09-11,2013-09-25,161249,161249
21395333,2013-09-05,2013-09-25,161249,161249
21428573,2013-09-19,2013-09-19,161249,161249
21442546,2013-09-25,2013-09-25,161249,161249
selectspecs,2013-09-05,2013-09-22,161249,161249
21439039,2013-09-23,2013-09-25,163309,163309
ifttt,2013-09-24,2013-09-24,163309,163309
21421028,2013-09-16,2013-09-24,162541,162541
21421093,2013-09-17,2013-09-24,162541,162541
21421095,2013-09-16,2013-09-19,162541,162541
21421317,2013-09-16,2013-09-25,162541,162541
app_job for site_id 162541,2013-09-16,2013-09-16,162541,162541
shake,2013-09-18,2013-09-25,162541,162541
20104469,2012-09-03,2013-09-25,87588,87588
20880428,2012-09-27,2013-02-08,87588,87588
wg-nuernberg,2013-06-07,2013-09-25,87588,87588
21430526,2013-09-19,2013-09-25,162975,162975
21430579,2013-09-20,2013-09-24,162975,162975
21434763,2013-09-21,2013-09-25,162975,162975
houstondirectauto,2013-09-20,2013-09-25,162975,162975
6330539,2012-09-03,2013-09-25,24347,24347
idonowidont,2013-06-08,2013-09-25,24347,24347
21068939,2012-12-26,2013-09-25,116678,116678
21068946,2012-12-26,2012-12-26,116678,116678
planethair,2013-07-16,2013-09-23,116678,116678
21435315,2013-09-21,2013-09-25,163128,163128
21441822,2013-09-25,2013-09-25,163128,163128
21443356,2013-09-25,2013-09-25,163128,163128
app_job for site_id 163128,2013-09-25,2013-09-25,163128,163128
appetas,2013-09-24,2013-09-25,163128,163128
21423158,2013-09-16,2013-09-25,162606,162606
21423177,2013-09-24,2013-09-25,162606,162606
walkerahelicoptersupply,2013-09-16,2013-09-24,162606,162606
20805606,2012-09-03,2012-12-01,92141,92141
20810363,2012-09-03,2013-01-23,92141,92141
20810365,2012-09-03,2013-09-25,92141,92141
20810439,2012-09-03,2013-09-25,92141,92141
20810440,2012-09-03,2012-10-27,92141,92141
20814933,2012-09-09,2012-11-15,92141,92141
20850394,2012-09-20,2013-09-25,92141,92141
20896201,2012-10-08,2013-09-25,92141,92141
20903364,2012-10-09,2013-02-13,92141,92141
20903365,2012-10-10,2013-09-25,92141,92141
20903366,2012-10-07,2013-09-25,92141,92141
20917769,2012-10-09,2013-06-11,92141,92141
20917778,2012-10-09,2013-03-18,92141,92141
20917790,2012-10-09,2012-10-21,92141,92141
20917797,2012-10-09,2013-01-03,92141,92141
20917811,2012-10-09,2013-08-27,92141,92141
20917817,2012-10-09,2013-09-24,92141,92141
20996122,2012-10-15,2013-09-25,92141,92141
20996224,2012-10-15,2013-01-13,92141,92141
20996225,2012-10-15,2012-10-15,92141,92141
20996227,2012-10-15,2012-10-15,92141,92141
20996228,2012-10-15,2012-10-17,92141,92141
20996231,2012-10-15,2013-04-21,92141,92141
20996232,2012-10-28,2013-09-23,92141,92141
20996235,2012-10-15,2012-10-15,92141,92141
20996283,2013-01-07,2013-01-31,92141,92141
21001159,2012-10-18,2012-10-18,92141,92141
21003065,2012-10-21,2013-09-25,92141,92141
21018905,2012-10-28,2013-09-25,92141,92141
21020011,2012-10-29,2013-09-25,92141,92141
21023275,2012-11-01,2012-11-19,92141,92141
21025298,2012-11-05,2013-09-24,92141,92141
21030554,2012-11-11,2012-11-15,92141,92141
21037788,2012-11-19,2013-04-28,92141,92141
21037789,2012-11-19,2013-01-10,92141,92141
21037844,2012-11-19,2012-11-19,92141,92141
21042150,2012-11-25,2013-04-09,92141,92141
21043562,2012-12-02,2013-09-25,92141,92141
21045849,2012-11-29,2013-01-10,92141,92141
21047188,2012-11-29,2012-11-29,92141,92141
21048208,2012-11-30,2013-09-25,92141,92141
21058453,2012-12-17,2013-03-18,92141,92141
21058455,2012-12-23,2013-02-12,92141,92141
